# solver	iter	churn	stddev
cspf	0	2970.000000	0.000000
cspf	1	0.000000	0.000000
cspf	2	0.000000	0.000000
cspf	3	0.000000	0.000000
cspf	4	0.000000	0.000000
cspf	5	0.000000	0.000000
cspf	6	0.000000	0.000000
cspf	7	0.000000	0.000000
cspf	8	0.000000	0.000000
cspf	9	0.000000	0.000000
cspf	10	0.000000	0.000000
cspf	11	0.000000	0.000000
cspf	12	0.000000	0.000000
cspf	13	0.000000	0.000000
cspf	14	0.000000	0.000000
cspf	15	0.000000	0.000000
cspf	16	0.000000	0.000000
cspf	17	0.000000	0.000000
cspf	18	2424.000000	0.000000
cspf	19	2444.000000	0.000000
cspf	20	2446.000000	0.000000
cspf	21	2528.000000	0.000000
cspf	22	2544.000000	0.000000
cspf	23	2498.000000	0.000000
cspf	24	2448.000000	0.000000
cspf	25	2424.000000	0.000000
cspf	26	2526.000000	0.000000
cspf	27	0.000000	0.000000
cspf	28	0.000000	0.000000
cspf	29	0.000000	0.000000
cspf	30	2502.000000	0.000000
cspf	31	2448.000000	0.000000
cspf	32	2316.000000	0.000000
cspf	33	2056.000000	0.000000
cspf	34	2030.000000	0.000000
cspf	35	1944.000000	0.000000
cspf	36	1986.000000	0.000000
cspf	37	2228.000000	0.000000
cspf	38	2056.000000	0.000000
cspf	39	2046.000000	0.000000
cspf	40	2522.000000	0.000000
cspf	41	2160.000000	0.000000
cspf	42	2272.000000	0.000000
cspf	43	2324.000000	0.000000
cspf	44	2214.000000	0.000000
cspf	45	2446.000000	0.000000
cspf	46	2386.000000	0.000000
cspf	47	2408.000000	0.000000
cspf	48	2390.000000	0.000000
cspf	49	2388.000000	0.000000
cspf	50	2410.000000	0.000000
cspf	51	2678.000000	0.000000
cspf	52	0.000000	0.000000
cspf	53	2458.000000	0.000000
cspf	54	2544.000000	0.000000
cspf	55	2390.000000	0.000000
cspf	56	2018.000000	0.000000
cspf	57	2064.000000	0.000000
cspf	58	2000.000000	0.000000
cspf	59	2064.000000	0.000000
cspf	60	2044.000000	0.000000
cspf	61	2058.000000	0.000000
cspf	62	1910.000000	0.000000
cspf	63	2298.000000	0.000000
cspf	64	2230.000000	0.000000
cspf	65	2342.000000	0.000000
cspf	66	2326.000000	0.000000
cspf	67	2316.000000	0.000000
cspf	68	2282.000000	0.000000
cspf	69	2394.000000	0.000000
cspf	70	2554.000000	0.000000
cspf	71	2450.000000	0.000000
cspf	72	2452.000000	0.000000
cspf	73	2462.000000	0.000000
cspf	74	2602.000000	0.000000
cspf	75	0.000000	0.000000
cspf	76	0.000000	0.000000
cspf	77	0.000000	0.000000
cspf	78	2500.000000	0.000000
cspf	79	2358.000000	0.000000
cspf	80	2094.000000	0.000000
cspf	81	2008.000000	0.000000
cspf	82	2016.000000	0.000000
cspf	83	2108.000000	0.000000
cspf	84	2054.000000	0.000000
cspf	85	2060.000000	0.000000
