# solver	iter	congestion-drop	stddev
cspf	0	0.080366	0.000000
cspf	1	0.086980	0.000000
cspf	2	0.081480	0.000000
cspf	3	0.100558	0.000000
cspf	4	0.087854	0.000000
cspf	5	0.063793	0.000000
cspf	6	0.060396	0.000000
cspf	7	0.056765	0.000000
cspf	8	0.057280	0.000000
cspf	9	0.069928	0.000000
cspf	10	0.067731	0.000000
cspf	11	0.069932	0.000000
cspf	12	0.077497	0.000000
cspf	13	0.093482	0.000000
cspf	14	0.097217	0.000000
cspf	15	0.093244	0.000000
cspf	16	0.091100	0.000000
cspf	17	0.090140	0.000000
cspf	18	0.070191	0.000000
cspf	19	0.069913	0.000000
cspf	20	0.092151	0.000000
cspf	21	0.087331	0.000000
cspf	22	0.092219	0.000000
cspf	23	0.082726	0.000000
cspf	24	0.082798	0.000000
cspf	25	0.095994	0.000000
cspf	26	0.095833	0.000000
cspf	27	0.108495	0.000000
cspf	28	0.119351	0.000000
cspf	29	0.090989	0.000000
cspf	30	0.136057	0.000000
cspf	31	0.116720	0.000000
cspf	32	0.124685	0.000000
cspf	33	0.118544	0.000000
cspf	34	0.115890	0.000000
cspf	35	0.092582	0.000000
mcf	0	0.127288	0.000000
mcf	1	0.135178	0.000000
mcf	2	0.143181	0.000000
mcf	3	0.108856	0.000000
mcf	4	0.136615	0.000000
mcf	5	0.103623	0.000000
mcf	6	0.104299	0.000000
mcf	7	0.086328	0.000000
mcf	8	0.096309	0.000000
mcf	9	0.103170	0.000000
mcf	10	0.079827	0.000000
mcf	11	0.086944	0.000000
mcf	12	0.117622	0.000000
mcf	13	0.137202	0.000000
mcf	14	0.134191	0.000000
mcf	15	0.120907	0.000000
mcf	16	0.142644	0.000000
mcf	17	0.171524	0.000000
mcf	18	0.113094	0.000000
mcf	19	0.118189	0.000000
mcf	20	0.160696	0.000000
mcf	21	0.129068	0.000000
mcf	22	0.130729	0.000000
mcf	23	0.114405	0.000000
mcf	24	0.117642	0.000000
mcf	25	0.146145	0.000000
mcf	26	0.127084	0.000000
mcf	27	0.142048	0.000000
mcf	28	0.165913	0.000000
mcf	29	0.161732	0.000000
mcf	30	0.158068	0.000000
mcf	31	0.149943	0.000000
mcf	32	0.171270	0.000000
mcf	33	0.143657	0.000000
mcf	34	0.155621	0.000000
mcf	35	0.155291	0.000000
helixMC	0	0.084314	0.000000
helixMC	1	0.082340	0.000000
helixMC	2	0.085716	0.000000
helixMC	3	0.081981	0.000000
helixMC	4	0.076003	0.000000
helixMC	5	0.065810	0.000000
helixMC	6	0.066605	0.000000
helixMC	7	0.060907	0.000000
helixMC	8	0.062060	0.000000
helixMC	9	0.062109	0.000000
helixMC	10	0.061338	0.000000
helixMC	11	0.063502	0.000000
helixMC	12	0.068307	0.000000
helixMC	13	0.078740	0.000000
helixMC	14	0.078847	0.000000
helixMC	15	0.076919	0.000000
helixMC	16	0.077830	0.000000
helixMC	17	0.079989	0.000000
helixMC	18	0.064854	0.000000
helixMC	19	0.054509	0.000000
helixMC	20	0.073883	0.000000
helixMC	21	0.074965	0.000000
helixMC	22	0.077939	0.000000
helixMC	23	0.063326	0.000000
helixMC	24	0.065335	0.000000
helixMC	25	0.073927	0.000000
helixMC	26	0.073844	0.000000
helixMC	27	0.088759	0.000000
helixMC	28	0.096744	0.000000
helixMC	29	0.074964	0.000000
helixMC	30	0.085226	0.000000
helixMC	31	0.080024	0.000000
helixMC	32	0.091661	0.000000
helixMC	33	0.075323	0.000000
helixMC	34	0.091347	0.000000
helixMC	35	0.076383	0.000000

