# solver	iter	congestion-drop	stddev
semimcfksp	0	0.081227	0.000000
semimcfksp	1	0.087073	0.000000
semimcfksp	2	0.086073	0.000000
semimcfksp	3	0.098671	0.000000
semimcfksp	4	0.089753	0.000000
semimcfksp	5	0.079819	0.000000
semimcfksp	6	0.068028	0.000000
semimcfksp	7	0.064276	0.000000
semimcfksp	8	0.076318	0.000000
semimcfksp	9	0.070106	0.000000
semimcfksp	10	0.068660	0.000000
semimcfksp	11	0.071676	0.000000
semimcfksp	12	0.078942	0.000000
semimcfksp	13	0.111579	0.000000
semimcfksp	14	0.103484	0.000000
semimcfksp	15	0.117962	0.000000
semimcfksp	16	0.095066	0.000000
semimcfksp	17	0.102590	0.000000
semimcfksp	18	0.097514	0.000000
semimcfksp	19	0.080583	0.000000
semimcfksp	20	0.113046	0.000000
semimcfksp	21	0.090181	0.000000
semimcfksp	22	0.090519	0.000000
semimcfksp	23	0.078591	0.000000
semimcfksp	24	0.079838	0.000000
semimcfksp	25	0.099482	0.000000
semimcfksp	26	0.108669	0.000000
semimcfksp	27	0.119911	0.000000
semimcfksp	28	0.119791	0.000000
semimcfksp	29	0.082366	0.000000
semimcfksp	30	0.123645	0.000000
semimcfksp	31	0.133284	0.000000
semimcfksp	32	0.143134	0.000000
semimcfksp	33	0.112520	0.000000
semimcfksp	34	0.115806	0.000000
semimcfksp	35	0.097370	0.000000

