# solver	iter	congestion-drop	stddev
cspf	0	0.024700	0.000000
cspf	1	0.000000	0.000000
cspf	2	0.017862	0.000000
cspf	3	0.019366	0.000000
cspf	4	0.012278	0.000000
cspf	5	0.000000	0.000000
cspf	6	0.000000	0.000000
cspf	7	0.000000	0.000000
cspf	8	0.000000	0.000000
cspf	9	0.000000	0.000000
cspf	10	0.000000	0.000000
cspf	11	0.000000	0.000000
cspf	12	0.000000	0.000000
cspf	13	0.018834	0.000000
cspf	14	0.017317	0.000000
cspf	15	0.018522	0.000000
cspf	16	0.012359	0.000000
cspf	17	0.013751	0.000000
cspf	18	0.003887	0.000000
cspf	19	0.000000	0.000000
cspf	20	0.015127	0.000000
cspf	21	0.009752	0.000000
cspf	22	0.011095	0.000000
cspf	23	0.004547	0.000000
cspf	24	0.004340	0.000000
cspf	25	0.009260	0.000000
cspf	26	0.008680	0.000000
cspf	27	0.030751	0.000000
cspf	28	0.031591	0.000000
cspf	29	0.014256	0.000000
cspf	30	0.002792	0.000000
cspf	31	0.021453	0.000000
cspf	32	0.024490	0.000000
cspf	33	0.003802	0.000000
cspf	34	0.019322	0.000000
cspf	35	0.015567	0.000000
mcf	0	0.019562	0.000000
mcf	1	0.018302	0.000000
mcf	2	0.014090	0.000000
mcf	3	0.014419	0.000000
mcf	4	0.014401	0.000000
mcf	5	0.005989	0.000000
mcf	6	0.009412	0.000000
mcf	7	0.004932	0.000000
mcf	8	0.005964	0.000000
mcf	9	0.011328	0.000000
mcf	10	0.010764	0.000000
mcf	11	0.011202	0.000000
mcf	12	0.006332	0.000000
mcf	13	0.033516	0.000000
mcf	14	0.017297	0.000000
mcf	15	0.021551	0.000000
mcf	16	0.026366	0.000000
mcf	17	0.024323	0.000000
mcf	18	0.013428	0.000000
mcf	19	0.012045	0.000000
mcf	20	0.024321	0.000000
mcf	21	0.017755	0.000000
mcf	22	0.016889	0.000000
mcf	23	0.015280	0.000000
mcf	24	0.018722	0.000000
mcf	25	0.020950	0.000000
mcf	26	0.019506	0.000000
mcf	27	0.024282	0.000000
mcf	28	0.032617	0.000000
mcf	29	0.022897	0.000000
mcf	30	0.021985	0.000000
mcf	31	0.033592	0.000000
mcf	32	0.023195	0.000000
mcf	33	0.016846	0.000000
mcf	34	0.031536	0.000000
mcf	35	0.022044	0.000000
helixMC	0	0.008466	0.000000
helixMC	1	0.000000	0.000000
helixMC	2	0.000570	0.000000
helixMC	3	0.002947	0.000000
helixMC	4	0.000000	0.000000
helixMC	5	0.000000	0.000000
helixMC	6	0.000000	0.000000
helixMC	7	0.000000	0.000000
helixMC	8	0.000000	0.000000
helixMC	9	0.000000	0.000000
helixMC	10	0.000000	0.000000
helixMC	11	0.000000	0.000000
helixMC	12	0.000000	0.000000
helixMC	13	0.001103	0.000000
helixMC	14	0.003005	0.000000
helixMC	15	0.002661	0.000000
helixMC	16	0.006447	0.000000
helixMC	17	0.005291	0.000000
helixMC	18	0.000000	0.000000
helixMC	19	0.000050	0.000000
helixMC	20	0.000973	0.000000
helixMC	21	0.000695	0.000000
helixMC	22	0.002305	0.000000
helixMC	23	0.000000	0.000000
helixMC	24	0.000000	0.000000
helixMC	25	0.000352	0.000000
helixMC	26	0.003803	0.000000
helixMC	27	0.013253	0.000000
helixMC	28	0.014109	0.000000
helixMC	29	0.000525	0.000000
helixMC	30	0.020799	0.000000
helixMC	31	0.010847	0.000000
helixMC	32	0.020412	0.000000
helixMC	33	0.011366	0.000000
helixMC	34	0.020469	0.000000
helixMC	35	0.011677	0.000000
